Nome: PASSO FUNDO
Codigo Estacao: A839
Latitude: -28.22666666
Longitude: -52.40361111
Altitude: 680.67
Situacao: Operante
Data Inicial: 2025-09-01
Data Final: 2026-04-06
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2025-09-01;0;22.7;15.1;73.3;5;
2025-09-02;0;20.1;16.5;81.7;5.1;
2025-09-03;10.2;23;15.3;83.2;4.8;
2025-09-04;4.6;22.2;17.3;84.1;null;
2025-09-05;null;null;null;null;null;
2025-09-06;null;null;null;79.2;null;
2025-09-07;null;null;null;78.4;null;
2025-09-08;9.8;18.5;12.9;92.3;3.3;
2025-09-09;null;null;null;70.3;null;
2025-09-10;0;22.5;6.9;70.6;1.5;
2025-09-11;0;23.9;10;59;2.6;
2025-09-12;0;22.6;6.1;62.1;4.2;
2025-09-13;0;22.6;9.9;67.8;4.4;
2025-09-14;0;21.4;10.4;76.7;4.8;
2025-09-15;7.4;18.5;12.7;89.2;2.2;
2025-09-16;11.4;23.6;14.6;81.9;1.9;
2025-09-17;0;25.2;11.2;74.8;3.2;
2025-09-18;0;25;13.6;69.1;4.1;
2025-09-19;0;26.8;13.8;69.4;2.6;
2025-09-20;0;22;16.1;78.5;2;
2025-09-21;34.2;18.7;14.4;89.8;null;
2025-09-22;null;null;null;null;null;
2025-09-23;null;null;6.9;null;null;
2025-09-24;null;null;null;null;null;
2025-09-25;null;null;null;55.7;null;
2025-09-26;0;21.9;9;68.3;4.9;
2025-09-27;0;25.5;10.2;64.8;5.1;
2025-09-28;null;null;14.6;null;null;
2025-09-29;null;null;null;null;null;
2025-09-30;null;null;null;null;null;
2025-10-01;null;null;null;null;null;
2025-10-02;null;null;null;74.2;null;
2025-10-03;1;22.2;16.6;88.5;2.6;
2025-10-04;5;27.9;15.1;77.9;3.5;
2025-10-05;null;null;null;null;null;
2025-10-06;null;null;null;null;null;
2025-10-07;null;null;null;null;null;
2025-10-08;null;null;null;null;null;
2025-10-09;null;null;null;null;null;
2025-10-10;null;null;null;null;null;
2025-10-11;null;null;null;null;null;
2025-10-12;null;null;null;null;null;
2025-10-13;null;null;null;null;null;
2025-10-14;null;null;null;null;null;
2025-10-15;null;null;null;null;null;
2025-10-16;null;null;null;null;null;
2025-10-17;null;null;null;null;null;
2025-10-18;null;null;null;null;null;
2025-10-19;null;null;null;null;null;
2025-10-20;null;null;null;null;null;
2025-10-21;null;null;null;null;null;
2025-10-22;null;null;null;null;null;
2025-10-23;null;null;null;null;null;
2025-10-24;0;26.5;12.4;59.3;5.2;
2025-10-25;0;28.2;15.4;71.1;4.7;
2025-10-26;19.2;24.7;15.5;87;1.3;
2025-10-27;0;22.2;15.5;87.1;3.6;
2025-10-28;0;21.2;14.1;89.2;4.8;
2025-10-29;47.6;15.9;11.1;91;4.7;
2025-10-30;.2;19.5;10.5;82.6;3.6;
2025-10-31;0;24.2;11.5;76.3;2.2;
2025-11-01;0;27.7;12.9;75;2.4;
2025-11-02;8.6;27.3;15.6;71.9;3.7;
2025-11-03;0;25;15.9;77.8;3.4;
2025-11-04;0;30.7;15.4;68.7;3.3;
2025-11-05;0;27.3;15.4;64;2.5;
2025-11-06;0;24.7;9.5;58.6;3.5;
2025-11-07;0;18;13.1;87.6;4.7;
2025-11-08;60.8;17.7;12.1;87.4;3.8;
2025-11-09;0;22.7;8.9;71.8;3.1;
2025-11-10;0;25.1;11;63.9;3.2;
2025-11-11;0;28.8;12.7;54.8;3.5;
2025-11-12;0;22.7;16.8;73.2;3.1;
2025-11-13;1.6;27.1;15.9;76.3;2.4;
