Nome: PASSO FUNDO
Codigo Estacao: A839
Latitude: -28.22666666
Longitude: -52.40361111
Altitude: 680.67
Situacao: Operante
Data Inicial: 2021-01-01
Data Final: 2025-09-05
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2021-01-01;0;27,5;14,7;65;2,4;
2021-01-02;0;28,4;16,3;55,8;3,8;
2021-01-03;0;28,5;15,4;60,4;4,1;
2021-01-04;0;28,8;15,6;67,6;4,4;
2021-01-05;6,4;24;19,6;87,3;1,7;
2021-01-06;22,2;27,4;18,6;82,5;1,8;
2021-01-07;,4;26,9;20,2;77,8;2,1;
2021-01-08;0;29,6;17,6;63,6;1,5;
2021-01-09;0;30,5;18,5;70,9;3,5;
2021-01-10;2;30,3;18,2;78;2,7;
2021-01-11;0;31,6;20,1;72,1;3,7;
2021-01-12;0;29,2;20,4;75,9;2,9;
2021-01-13;,2;23,8;19,4;86,1;4,5;
2021-01-14;1,8;27,9;16,4;73,8;4,6;
2021-01-15;0;29,4;17,8;73;4,4;
2021-01-16;0;28,9;19,6;81;4,6;
2021-01-17;5,2;24,4;19,5;91,6;2,6;
2021-01-18;12;24,7;17,2;79,6;3,1;
2021-01-19;0;22,8;14,9;82,9;4,2;
2021-01-20;0;21,5;18,1;90,9;3,9;
2021-01-21;8;21,1;18,5;93,1;3,8;
2021-01-22;27,6;22,6;16,9;87,8;4,1;
2021-01-23;,8;27,4;17,1;83,6;2,9;
2021-01-24;0;27,1;17,1;84,5;3;
2021-01-25;1;27,3;17,4;87;2,8;
2021-01-26;1,4;26,3;18,3;90,5;3,9;
2021-01-27;7;24,9;19,3;89,7;4,5;
2021-01-28;6,4;22,1;18,2;95;2,5;
2021-01-29;50;28,2;18;88;3,8;
2021-01-30;4,4;27,6;17,7;87,1;3,2;
2021-01-31;50,8;25,6;17,1;89;3;
2021-02-01;0;27,3;17,4;84,8;1,3;
2021-02-02;0;27,8;18,5;82,5;2,5;
2021-02-03;0;27,5;21,1;87;2,7;
2021-02-04;10,8;24;17,2;86,1;3,6;
2021-02-05;1,8;22,3;13,5;81;2,4;
2021-02-06;0;23,8;11,6;70,8;2,3;
2021-02-07;0;27,3;13,7;65,3;3;
2021-02-08;0;28,7;14,9;68;2,8;
2021-02-09;0;27,1;15,6;69,8;3,3;
2021-02-10;0;27,2;16,5;68,5;2,9;
2021-02-11;0;25,5;16;82,2;2,8;
2021-02-12;11,4;24,2;16,3;89,4;2,5;
2021-02-13;10;27,4;15,6;85,8;2,4;
2021-02-14;0;25,8;17,8;80,8;2,4;
2021-02-15;,2;24,5;14,9;91;2;
2021-02-16;10;25;15,1;83;2,3;
2021-02-17;,2;25,3;13,4;73,2;2,1;
2021-02-18;0;24,7;11,8;73,3;1,7;
2021-02-19;0;26,5;12,5;75,3;,9;
2021-02-20;0;28;16,3;67,5;2,4;
2021-02-21;0;29,5;16,6;69,4;3,2;
2021-02-22;0;29,8;18,2;74,6;4,1;
2021-02-23;0;30,1;17,8;82;2,9;
2021-02-24;27;27,9;16,8;78;2,8;
2021-02-25;0;28,4;16,4;78,4;3,4;
2021-02-26;0;27,6;16,4;75;4;
2021-02-27;0;28;16,4;74,4;4;
2021-02-28;,4;28,2;14,8;73,2;4,3;
2021-03-01;0;27,6;17,4;81,1;3,7;
2021-03-02;,4;28,4;17,7;87,8;3,1;
2021-03-03;24,4;28,9;17,8;88,6;2,3;
2021-03-04;7,8;24,1;18,5;91,9;2,2;
2021-03-05;2,4;26,1;18,2;86;2,6;
2021-03-06;,4;25,7;16,3;79,2;1,9;
2021-03-07;0;27,7;14,3;74,9;2,2;
2021-03-08;0;27,8;15,7;75,4;2,5;
2021-03-09;0;25,5;15,4;76,9;3;
2021-03-10;,2;24,5;12;72,1;2,2;
2021-03-11;0;26,3;12,1;65,4;2,2;
2021-03-12;0;28,5;13,9;61,5;2,4;
2021-03-13;0;30,4;15,2;66;2,7;
2021-03-14;0;31,1;18;69,3;3,1;
2021-03-15;0;30,8;17,4;71,3;3,2;
2021-03-16;0;33,2;18,3;67,7;3,5;
2021-03-17;61,4;26,8;18,8;84,7;2,7;
2021-03-18;,4;26,1;16,1;79,8;2,3;
2021-03-19;0;30,5;14,1;70;3,1;
2021-03-20;0;31,7;17,4;71,4;4;
2021-03-21;,2;23,9;19,8;85,8;2,4;
2021-03-22;6,4;28,7;17,9;82,5;2,2;
2021-03-23;0;29,4;19;86,3;2,1;
2021-03-24;17;28,4;18,3;84,1;1,9;
2021-03-25;0;33,3;18,2;68,2;2,8;
2021-03-26;1;27,9;18,6;83;3,5;
2021-03-27;20;20,3;17,9;94,5;1,7;
2021-03-28;24;25,1;18;88,4;2,2;
2021-03-29;3,8;23,9;15,8;80,9;2,1;
2021-03-30;0;22,5;11,4;84;1,8;
2021-03-31;,6;22,2;12,4;76;2,7;
2021-04-01;0;23,4;11,3;74,6;3;
2021-04-02;0;25,7;12,5;68;3,7;
2021-04-03;0;28,2;14,2;65,3;2,9;
2021-04-04;0;28;15,2;62,3;3,5;
2021-04-05;0;26,8;15;64,6;3,6;
2021-04-06;0;27,7;16,5;64,9;3,1;
2021-04-07;0;27,7;15,3;68,8;4,3;
2021-04-08;0;28,5;16;67;4,8;
2021-04-09;0;30,9;16,9;65,7;4,1;
2021-04-10;0;30,9;17,3;59,4;2,9;
2021-04-11;0;30,7;16,4;66,3;4,1;
2021-04-12;3,4;21,8;13,9;82,8;3,2;
2021-04-13;0;26,2;11,5;72,7;3,6;
2021-04-14;0;25,2;14,1;72,7;3,8;
2021-04-15;0;22,9;15;75,5;3,3;
2021-04-16;0;23,2;14,3;83,8;2,5;
2021-04-17;5,4;24,2;16,2;85,7;2,4;
2021-04-18;,2;24,6;14;79,2;3,8;
2021-04-19;0;25,7;14,5;75,3;3,5;
2021-04-20;0;25,4;13,5;68,2;3,9;
2021-04-21;0;25,6;13;70,5;4,1;
2021-04-22;0;25,1;13,7;65,3;3,8;
2021-04-23;0;25,6;12,7;58;3,3;
2021-04-24;0;25,1;12,9;74,8;2,9;
2021-04-25;,8;20,8;14,5;84;2,1;
2021-04-26;0;19,9;8,8;71,3;2,1;
2021-04-27;0;19,8;7,3;70,2;1,6;
2021-04-28;0;20,7;7;63,9;2,3;
2021-04-29;0;23;8,5;72;3,2;
2021-04-30;,2;23,9;10,6;67,3;3,8;
2021-05-01;0;25;11,4;64,8;3,6;
2021-05-02;0;27,2;12,9;69,8;3,2;
2021-05-03;0;29,7;15;65,4;3,3;
2021-05-04;0;30;16,1;60,8;3,8;
2021-05-05;2;20,2;14,5;93,3;3,3;
2021-05-06;22;12,9;10,7;95,4;3,7;
2021-05-07;4;15,9;4,6;81,2;2,2;
2021-05-08;0;19,6;6,4;76,9;3;
2021-05-09;0;21,9;8,8;70,5;3,4;
2021-05-10;0;24,5;11,4;74,7;3,2;
2021-05-11;4,8;18,3;12,6;91,9;3;
2021-05-12;11,4;17,1;8,6;77,5;3,3;
2021-05-13;0;18,5;3,9;81,5;2,7;
2021-05-14;,2;20;6,9;76,3;2,6;
2021-05-15;0;20,5;8,9;79,5;2,2;
2021-05-16;0;21,5;10;72,3;1,8;
2021-05-17;0;20,4;10;73,1;1,5;
2021-05-18;,2;18,9;5,7;74,7;1;
2021-05-19;0;23;7,4;60,7;1,9;
2021-05-20;0;22,8;9,7;66;2,4;
2021-05-21;5,6;23,4;12,1;86,8;4,1;
2021-05-22;40;18,5;14,1;89,6;4;
2021-05-23;,2;12,7;5,2;85,1;4,5;
2021-05-24;0;13,6;6,1;81,5;3,4;
2021-05-25;,2;19,3;3,7;70,5;2,2;
2021-05-26;0;21,6;5,7;61,9;1,8;
2021-05-27;0;22,9;5,6;59,7;2,3;
2021-05-28;0;21,9;11,2;83,5;4,6;
2021-05-29;41;21,1;13,5;87,6;2,4;
2021-05-30;,2;14,5;6,2;78,7;1,6;
2021-05-31;0;19,8;2,8;62,2;1,6;
2021-06-01;0;20,6;6,3;67,4;2,6;
2021-06-02;0;20,3;10,4;88,3;3,1;
2021-06-03;1,2;21,8;10,3;82,8;1,7;
2021-06-04;,6;26,2;13,3;81,2;3,7;
2021-06-05;0;27,3;15;76,5;4,7;
2021-06-06;,2;20,3;12,6;93,5;3,1;
2021-06-07;,2;17,8;12,9;89,8;4;
2021-06-08;14,6;16;13;92,5;4,3;
2021-06-09;16,2;21,1;12,1;85;3,5;
2021-06-10;40;19,1;13,7;90,9;3;
2021-06-11;1,8;15,9;10,7;89,2;1,8;
2021-06-12;0;16,4;5,8;77;1,1;
2021-06-13;0;19,4;6,2;66,6;2,2;
2021-06-14;,2;21,3;8,4;71,6;3;
2021-06-15;0;18,4;9,4;81,9;1,8;
2021-06-16;0;11,6;6,7;85,4;3,7;
2021-06-17;0;13,1;3,4;83,8;3,2;
2021-06-18;0;16,8;5;85,8;3,2;
2021-06-19;6,2;12,7;7,9;95;4;
2021-06-20;16,2;12,6;9,7;92,5;2,3;
2021-06-21;0;15,8;7,7;89,4;2,6;
2021-06-22;1,4;17,8;10,6;88,6;2,4;
2021-06-23;0;16,3;10,3;83;5,1;
2021-06-24;0;15,8;12,2;88;6;
2021-06-25;19,6;17;5,4;85,9;2,3;
2021-06-26;2;24,5;10;84,1;4,6;
2021-06-27;51,6;18,8;8,5;96,7;3,1;
2021-06-28;9,2;7,6;1,3;83,9;2,8;
2021-06-29;0;6,1;,1;82,7;4;
2021-06-30;,4;8,4;1,3;91;1,8;
2021-07-01;0;15,4;2,8;79,9;4,1;
2021-07-02;,2;18,6;4,9;75;3,3;
2021-07-03;0;16,1;4,4;75,8;1,2;
2021-07-04;0;16,6;5,7;81;3,4;
2021-07-05;0;21,6;7,9;78,8;3,1;
2021-07-06;0;15,9;7,4;86,7;3,1;
2021-07-07;0;19,9;6,6;78,5;3,5;
2021-07-08;0;20,5;9;68,9;2,4;
2021-07-09;0;18,1;8,4;74;3,4;
2021-07-10;0;22,5;8,1;72,4;3,1;
2021-07-11;0;23,2;9,3;65,9;3,2;
2021-07-12;0;22,3;9;61,7;3,8;
2021-07-13;0;24,1;12;67,4;3,4;
2021-07-14;0;23,1;13,1;68,1;3,4;
2021-07-15;3,4;19,6;13,9;85;3,3;
2021-07-16;5,6;16;9,8;85,5;1,9;
2021-07-17;0;15,7;8,6;85,3;2,4;
2021-07-18;0;9,2;1,2;67,1;4,5;
2021-07-19;0;11,3;1,3;72,4;2,8;
2021-07-20;0;14,3;-,4;75,5;1,5;
2021-07-21;0;20,3;3,3;58,8;2,6;
2021-07-22;0;23,6;8,2;47,3;2,6;
2021-07-23;0;24,4;10,3;44,1;3,1;
2021-07-24;0;25,8;11,1;51,9;3,4;
2021-07-25;0;26;11,3;60,3;4,3;
2021-07-26;0;27,8;14,1;61;4,6;
2021-07-27;26,2;18,3;7,8;82,5;4;
2021-07-28;0;7,7;-1,3;70,2;3,4;
2021-07-29;,2;8,1;-2;76;2,3;
2021-07-30;,2;14;-,6;64,6;1,8;
2021-07-31;0;16,7;3,8;58,8;3,9;
2021-08-01;0;19,5;6,7;66,8;2,6;
2021-08-02;0;18,2;4,6;68;1,6;
2021-08-03;0;17,7;3,6;76,8;3;
2021-08-04;0;19,1;6,3;78,3;3,7;
2021-08-05;0;20,8;6,4;74,1;4,4;
2021-08-06;0;20,5;11,9;72,5;4,9;
2021-08-07;0;23,8;12,3;75,9;4,5;
2021-08-08;0;26,4;12,7;71,9;3,7;
2021-08-09;0;26,6;12;66,5;3,6;
2021-08-10;9;20,4;12,8;93,5;1,9;
2021-08-11;19,2;14,2;9;82,5;2,9;
2021-08-12;0;10,3;2,8;85;4;
2021-08-13;0;15,4;4,2;81,2;4,9;
2021-08-14;0;17,2;9,3;85;2,5;
2021-08-15;0;21,7;11,8;80,9;1,7;
2021-08-16;0;24,2;12,3;80,3;2,5;
2021-08-17;0;28,7;13,4;74,6;3,4;
2021-08-18;0;30,3;16;61,5;4,2;
2021-08-19;0;30,1;16,6;60,1;5;
2021-08-20;0;28,1;17,7;56,1;4,3;
2021-08-21;0;26,7;14,2;63,8;4,4;
2021-08-22;0;29;14,9;58;4,8;
2021-08-23;0;29,6;16,5;57,7;3,5;
2021-08-24;2;24,5;15,1;79,8;3;
2021-08-25;20,2;20;16,3;90,7;4,1;
2021-08-26;25,2;16,1;11,1;90,5;3,6;
2021-08-27;,2;18,6;5,3;83,8;2,3;
2021-08-28;0;20,4;8,9;80;4,8;
2021-08-29;0;22,4;10,8;77,5;3,3;
2021-08-30;0;22,6;11,1;75,1;4,6;
2021-08-31;0;23,5;12,3;71,3;3,8;
2021-09-01;0;24,6;12,1;68,3;4,2;
2021-09-02;0;26,8;13,4;66,9;3,6;
2021-09-03;0;24,1;14,6;75,5;1,9;
2021-09-04;0;26,5;10,7;84,4;3,3;
2021-09-05;6;22,3;13,7;86;2,4;
2021-09-06;0;20,6;10,8;89,6;2,9;
2021-09-07;23;18,2;13,5;90,1;6,1;
2021-09-08;25;19,6;14,1;89,9;4,9;
2021-09-09;13,4;18;8;81,8;4,7;
2021-09-10;0;17,7;9;79,3;3;
2021-09-11;0;23;6,5;75,2;1,4;
2021-09-12;0;28,4;11,4;71,7;3,3;
2021-09-13;0;29,3;16,8;73,2;5;
2021-09-14;37;22;16;91,7;3,6;
2021-09-15;,2;18;10,1;80,1;2,9;
2021-09-16;0;18,8;9,6;83,6;3,2;
2021-09-17;6,4;15;12,4;94;4,3;
2021-09-18;61;26,4;13,1;84,8;3,1;
2021-09-19;,2;30,4;17,3;79,8;2,9;
2021-09-20;0;30,6;18,4;76;4;
2021-09-21;12,6;25,1;16,1;85,8;3,8;
2021-09-22;0;19,8;6,6;69,9;5,7;
2021-09-23;0;14,9;9,9;82,6;4,2;
2021-09-24;11,6;22;12,9;84,5;1,4;
2021-09-25;0;23,6;10,4;76,9;2,6;
2021-09-26;0;27,7;12,8;70,8;2,8;
2021-09-27;null;null;null;null;null;
2021-09-28;null;25,1;17,9;80,4;2,7;
2021-09-29;4,2;21,7;15,6;86,5;4;
2021-09-30;0;22,9;13,8;83,2;5,7;
2021-10-01;10,6;23;15,6;91,6;3,1;
2021-10-02;0;24;13,3;83,2;2,8;
2021-10-03;7;20,1;16,2;92;2,1;
2021-10-04;,8;18,5;13;85,7;2,7;
2021-10-05;,2;23,1;6,7;73,4;2,7;
2021-10-06;0;19,9;14;85,9;2,9;
2021-10-07;4;19,9;10,1;81,3;4;
2021-10-08;0;20,9;9,7;87,1;3,7;
2021-10-09;23,8;17,4;13,6;93,7;3,1;
2021-10-10;,2;23,8;14,1;79,4;4,5;
2021-10-11;,6;23;14,4;84,1;4,2;
2021-10-12;9,4;25,4;14,6;78,8;2,7;
2021-10-13;0;26,4;14,7;74,8;4;
2021-10-14;9,2;27,4;16,5;79,5;4;
2021-10-15;60,2;23,3;16;90,3;3,5;
2021-10-16;3;17,4;12,4;88,2;4,5;
2021-10-17;0;16,9;12,4;87,6;4,1;
2021-10-18;0;21,3;11;79;3,6;
2021-10-19;0;23,1;10,6;65,5;3,6;
2021-10-20;0;23,5;10,1;62,7;3,6;
2021-10-21;0;24,8;11,4;63,9;3,2;
2021-10-22;0;26,8;12,4;59,5;2,5;
2021-10-23;0;21,5;13,6;80,3;3,7;
2021-10-24;28;20,4;11,6;72,2;2,7;
2021-10-25;0;25,3;9,7;55,7;2,7;
2021-10-26;0;27,7;11,6;44,7;1,5;
2021-10-27;0;29,8;13,9;43,3;3,7;
2021-10-28;0;29,4;14,1;55,7;3,9;
2021-10-29;0;29,4;15,8;69,5;3,5;
2021-10-30;15;27,8;15,5;70,8;4,1;
2021-10-31;0;27,7;17,2;66,2;3,7;
2021-11-01;0;29,6;14,9;65,8;3,3;
2021-11-02;0;30,3;16,6;62,3;2,8;
2021-11-03;0;25,1;17,7;76,3;2,8;
2021-11-04;4,8;29,6;15,2;72;2;
2021-11-05;0;31,3;18,2;70;2,9;
2021-11-06;1,6;26,1;17,3;79,9;3,6;
2021-11-07;0;26,9;15,1;77;3,8;
2021-11-08;0;27,8;13,2;68,6;3,2;
2021-11-09;0;26,2;11,9;59,7;3,7;
2021-11-10;0;27,2;12,5;59,5;4,9;
2021-11-11;0;27,3;14,7;63,8;4,9;
2021-11-12;0;27,8;13,6;62,7;4,1;
2021-11-13;0;28,6;13,2;57,7;3,9;
2021-11-14;0;27,4;13,1;54,8;3,5;
2021-11-15;0;31,2;16,4;53;3,9;
2021-11-16;0;32,5;17,3;60,5;4;
2021-11-17;4,2;22,4;18,2;90,6;2,9;
2021-11-18;18,4;16,5;13,9;96,5;2,7;
2021-11-19;,8;22,9;13,7;86;3,2;
2021-11-20;,2;27,3;12;65,4;3,1;
2021-11-21;0;30,3;15,1;52,4;3,1;
2021-11-22;0;32,7;16,7;44,8;3,6;
2021-11-23;0;31,5;20;51,8;2,5;
2021-11-24;0;33;13,3;55,1;2,7;
2021-11-25;0;33,6;17,6;67,8;5,3;
2021-11-26;11,2;22,8;18,3;85,7;4,5;
2021-11-27;2,8;27,2;16,8;79;2,6;
2021-11-28;0;26,8;16,2;76,3;2,7;
2021-11-29;0;26;15,6;67,7;4,2;
2021-11-30;0;26,6;13,5;62,9;2,5;
2021-12-01;0;27,8;13,4;55,1;2,5;
2021-12-02;0;29,2;14,6;63;3,9;
2021-12-03;0;30,1;14,5;60,6;3,9;
2021-12-04;0;31,9;16;58,2;4,1;
2021-12-05;0;32,2;18,3;60,2;4,1;
2021-12-06;0;27,6;16,6;70,3;4;
2021-12-07;0;27,5;13,9;59,9;4,7;
2021-12-08;0;28,2;11,7;50,5;4,7;
2021-12-09;0;29,2;12,8;55,5;4;
2021-12-10;0;31,8;13,9;55,3;3,6;
2021-12-11;0;30,8;16,2;54,6;3,1;
2021-12-12;0;33,7;18,4;55,3;2,3;
2021-12-13;0;31,7;20,4;68,2;2,9;
2021-12-14;7,6;28,9;20,5;84,3;2,7;
2021-12-15;16;30,9;20,2;77,6;3,2;
2021-12-16;0;31,1;20,6;77,9;3,2;
2021-12-17;0;30,2;16,3;67,8;4,1;
2021-12-18;0;30,6;17,8;64,8;4,3;
2021-12-19;0;32,4;17,9;62,1;4;
2021-12-20;0;33,7;17,3;64,9;3,5;
2021-12-21;1;33,3;16,7;64,7;2,6;
2021-12-22;1,6;29,6;17;71,4;3,7;
2021-12-23;0;26,9;12,9;60,8;4,8;
2021-12-24;0;29,6;13,4;53,1;4,1;
2021-12-25;0;32,4;15,7;50,4;4,1;
2021-12-26;0;31,5;17,9;50,9;2,8;
2021-12-27;7,4;31,3;16,8;53,3;3,2;
2021-12-28;0;33,1;16,7;42,1;3,4;
2021-12-29;0;33,7;17,6;52,9;4,4;
2021-12-30;0;31,6;19;63,7;3,7;
2021-12-31;,2;32,5;17,7;58,5;3;
2022-01-01;0;35,1;18,8;48,6;2,8;
2022-01-02;0;35,7;21,1;52,3;4,4;
2022-01-03;4,6;30,8;19,7;78;3,3;
2022-01-04;4,4;25,9;19,9;85,9;1,9;
2022-01-05;10,6;26,5;18,6;89;2,5;
2022-01-06;10,2;23,5;15,5;81,3;4,8;
2022-01-07;0;28,9;13,8;64,5;4,5;
2022-01-08;0;28,7;15,1;58,7;4,4;
2022-01-09;0;26,9;15;55,5;4,3;
2022-01-10;null;29,8;15,7;59,9;3,4;
2022-01-11;0;31,7;17;55,3;3;
2022-01-12;0;34,1;17,5;39;3,1;
2022-01-13;0;34,4;17,9;41,2;3,5;
2022-01-14;0;31,7;20;68,3;2,9;
2022-01-15;,4;34,2;19,9;78,3;3,8;
2022-01-16;,2;35,5;19,5;65,3;4,1;
2022-01-17;0;36,3;20,6;59,6;4,9;
2022-01-18;0;35,5;20,7;65,6;4,7;
2022-01-19;3,2;34,8;18,9;65,3;3,3;
2022-01-20;0;35,1;20,6;62,3;3,1;
2022-01-21;,2;35,3;21,2;56,3;3,1;
2022-01-22;0;35,8;21,3;56,3;3,3;
